Entity,Year,no regime data,closed autocraties,electoral autocraties,electoral democraties,liberal democraties
World,1904,116895520,1288378476,238105137,41183513,17084758
World,1905,118937967,1296100489,242879329,41257547,17297719
World,1906,119832130,1309802837,240692830,41332261,19834726
World,1907,121374698,1320118817,243766978,41407670,20068691
World,1908,122969626,1331738853,245702401,41483789,20305538
World,1909,124306204,1339403985,251326994,41501543,20529022
World,1910,127026305,1342939382,261157693,41461145,20739067
World,1911,128544501,1341907701,272170075,41362810,20935597
World,1912,126062431,1352165174,277438059,41206744,21118544
World,1913,126364672,1359757776,282057750,39896979,22384010
World,1914,103341785,1398595162,286463212,39666141,15065289
World,1915,99017809,1407637648,294603147,39436661,15253762
World,1916,94673461,1427773297,291751005,44077660,10576081
World,1917,94763464,1327200988,405267293,43949430,10672001
World,1918,90348083,1437382805,294642395,50218595,22445164
World,1919,85162299,1379152953,262297274,112684341,69747442
World,1920,83958270,1359201736,260341770,152499316,70216333
World,1921,82270627,1362191936,134819576,282174373,78131314
World,1922,78819150,1363802294,139870520,289117400,84362267
World,1923,79453951,1391758741,121552796,295657693,84633993
World,1924,80098538,1439651996,86803667,298951518,84910666
World,1925,80753061,1452368103,87426356,298784659,88719909
World,1926,85784205,1483923399,90906619,276462354,88868804
World,1927,82092435,1510575488,85168007,277232881,89028259
World,1928,66383544,1525022069,101540888,280399339,89198132
World,1929,66882189,1540969341,101095257,283296764,89439917
World,1930,69936366,1602231838,67963277,274292186,89643711
World,1931,72708966,1585328770,97728961,276385942,90023947
World,1932,87002592,1576150428,87785525,302107057,90471923
World,1933,82126036,1591662616,173093566,227671898,90986312
World,1934,81893498,1689168327,99334637,225936135,91504196
World,1935,73046863,1702679315,115443665,227217531,92025598
World,1936,73774967,1716805749,121733914,228502220,92550551
World,1937,74512354,1735765078,148565644,204749714,93079076
World,1938,75259132,1748882162,156803813,205786588,93611212
World,1939,115134051,1790049783,108835231,191241153,97836220
World,1940,116694124,1866300315,113891423,156010413,74461464
World,1941,111108937,1884852778,116129338,157801080,74896401
World,1942,112760634,1900470518,115483903,159822223,75349833
World,1943,113499676,1926228340,108095575,158113140,75822208
World,1944,88293954,1971438354,103270229,160229669,76427714
World,1945,118536810,1853490353,199142897,169332586,76911054
World,1946,82959668,1421003051,664950528,164812712,101322643
World,1947,81980693,1393626937,606252078,227242089,144944034
World,1948,79468182,1772998727,245982368,230376870,145821943
World,1949,7540614,1797809631,244213710,234597515,216660299
World,1950,23713344,1762035443,294091673,239013080,217752268
World,1951,10533631,1411408726,701040463,242113961,218937442
World,1952,10671203,1380619213,299313351,634355365,305902556
World,1953,10830709,1430559385,282914741,644802308,308501916
World,1954,11002082,1452724361,294333718,655725936,311060654
World,1955,11179032,1400624811,379035563,661631732,320548777
World,1956,14939925,1410593083,321347522,752463790,323098933
World,1957,11545723,1395009549,374636557,766427122,325687104
World,1958,11742751,1385039273,503374097,697177772,328352785
World,1959,11958479,1406630125,512175096,717674609,331137834
World,1960,12410392,1429632790,528140469,730900350,334076179
World,1961,7184914,1557179987,446106390,744189813,337182402
World,1962,7365678,1646198229,397791843,758623092,340441917
World,1963,7552863,1607205209,470671106,781765084,343806679
World,1964,7729665,1642410406,458825226,817805706,347207268
World,1965,7884639,1706083639,442580130,832447119,350587982
World,1966,8012369,1761569938,428052334,853803944,356484045
World,1967,8118503,1810913957,430365236,869537677,359834729
World,1968,11008314,1847683590,444040019,885745085,363122424
World,1969,8326470,1903023627,446391014,693934640,574005213
World,1970,8710640,1964069950,439888336,655485967,632530783
World,1971,14597069,1895428907,557608595,670270232,637855227
World,1972,30212400,1958404659,534221849,685708053,643103624
World,1973,26645728,1918162052,643423744,691332230,648216764
World,1974,9053004,1948683281,660059745,732886263,653111885
World,1975,16751590,1934459087,1334312648,136221810,657735338
World,1976,17112910,2020857453,1332765724,88470122,695460615
World,1977,53116079,2037809249,697880510,731298450,709401629
World,1978,85089322,2077782104,642585782,785236139,713840250
World,1979,9558304,2012231488,837424800,803138332,718153256
World,1980,53302152,1971843898,914617190,796109318,722402394
World,1981,54289838,2100928374,834321517,820851382,726605505
World,1982,75963282,2224416912,762240062,823996183,730770085
World,1983,78028863,2266343583,771327974,810519152,773349612
World,1984,37047585,2304581354,796908149,867739190,777735234
World,1985,10609554,2300172352,887470637,890493743,782175379
World,1986,10801971,2116199197,1130205825,913644427,789716578
World,1987,10999336,2174024014,1005991426,1067182288,794324930
World,1988,11202285,2196951328,894935720,1243303947,799032712
World,1989,11411422,2182571407,970546529,1266013625,806898450
World,1990,14001065,2115781480,997735888,1334486371,865524274
World,1991,20898479,1951484886,1124453786,1434218563,883233668
World,1992,12074683,1921191169,974093183,1702859486,888701370
World,1993,17653103,1980354187,1086505197,1560183337,936901772
World,1994,19623286,1887047197,1147454578,1666154810,942870555
World,1995,41540728,1842338777,1147810798,1763780468,948742158
World,1996,43459761,1803195666,1087623718,1877876361,1012736421
World,1997,13278888,1787257040,1171027388,1914155803,1019326528
World,1998,12908806,1805594278,1181164305,1959311682,1025815001
World,1999,13144310,1796099468,1001891642,2219208867,1033894743
World,2000,13643611,1823737580,1019933037,2224054402,1062407991
World,2001,13840367,1844803649,1014715163,2280419086,1069134194
World,2002,14586290,1729233939,1317233897,2165114787,1075893297
World,2003,14763293,1741809194,1338795317,2182642456,1103467032
World,2004,39067343,1741101689,1435566003,2133796881,1111922737
World,2005,14505845,1721045094,1542522547,2143314687,1120817157
World,2006,14678229,1666849204,1657709673,2156005181,1128577114
World,2007,14854696,1886538984,1494478149,2173922966,1136456444
World,2008,15031399,1671736410,1734912060,2223371119,1144345392
World,2009,15202033,1702257117,1752861250,2248517150,1154240258
World,2010,25554282,1699036582,1735703285,2339651529,1157191843
World,2011,25931548,1649863170,1816292877,2385022173,1164399723
World,2012,26304377,1570748178,1739081847,2618691289,1171318986
World,2013,15783524,1691871990,1825198959,2551207090,1126838594
World,2014,110790441,1692980405,1699090359,2657960106,1134788954
World,2015,16005619,1703418802,1822469936,2735784670,1102438843
World,2016,16092555,1834514027,1692456395,2856925559,1064355696
World,2017,16166490,1846209504,1771188450,2815726923,1098891222
World,2018,15916673,1857623674,1923906940,2740154514,1093489309
World,2019,16011578,1890023497,3366181370,1361869535,1079382223
World,2020,16140723,1909939094,3371348749,1415963772,1081406387
World,2021,28245840,2046378571,3497189097,1250224935,1052927287
