Entity,Code,Year,pop_missreg_bmr_owid,pop_nondem_womsuffr_bmr_owid,pop_dem_womsuffr_bmr_owid
Oceania,,1826,1531132,0,0
Oceania,,1827,1532553,0,0
Oceania,,1828,1533988,0,0
Oceania,,1829,1536429,0,0
Oceania,,1830,1585505,0,0
Oceania,,1831,1544584,0,0
Oceania,,1832,1550427,0,0
Oceania,,1833,1557531,0,0
Oceania,,1834,1564972,0,0
Oceania,,1835,1572752,0,0
Oceania,,1836,1580871,0,0
Oceania,,1837,1589332,0,0
Oceania,,1838,1598138,0,0
Oceania,,1839,1609101,0,0
Oceania,,1840,1670374,0,0
Oceania,,1841,1637738,0,0
Oceania,,1842,1655546,0,0
Oceania,,1843,1675779,0,0
Oceania,,1844,1696705,0,0
Oceania,,1845,1718344,0,0
Oceania,,1846,1740729,0,0
Oceania,,1847,1763881,0,0
Oceania,,1848,1787826,0,0
Oceania,,1849,1818155,0,0
Oceania,,1850,1906318,0,0
Oceania,,1851,1905382,0,0
Oceania,,1852,1963814,0,0
Oceania,,1853,2031729,0,0
Oceania,,1854,2104530,0,0
Oceania,,1855,2182608,0,0
Oceania,,1856,2266382,0,0
Oceania,,1857,2238520,117792,0
Oceania,,1858,2330499,122383,0
Oceania,,1859,2415706,128293,0
Oceania,,1860,2546771,135668,0
Oceania,,1861,2561883,144665,0
Oceania,,1862,2620671,155458,0
Oceania,,1863,2668299,168235,0
Oceania,,1864,2717163,182063,0
Oceania,,1865,2767295,197027,0
Oceania,,1866,2818738,213221,0
Oceania,,1867,2871525,230746,0
Oceania,,1868,2925698,249711,0
Oceania,,1869,2978458,268927,0
Oceania,,1870,3085510,288338,0
Oceania,,1871,3079316,307876,0
Oceania,,1872,3127200,327464,0
Oceania,,1873,3173235,347014,0
Oceania,,1874,3220137,367731,0
Oceania,,1875,3267925,389684,0
Oceania,,1876,3316621,412949,0
Oceania,,1877,3366236,437602,0
Oceania,,1878,3416797,463727,0
Oceania,,1879,3474245,487792,0
Oceania,,1880,3597096,509585,0
Oceania,,1881,3611243,528877,0
Oceania,,1882,3691550,545427,0
Oceania,,1883,3780263,558972,0
Oceania,,1884,3871887,572854,0
Oceania,,1885,3966514,587081,0
Oceania,,1886,4064253,601661,0
Oceania,,1887,4165215,616603,0
Oceania,,1888,4269513,631916,0
Oceania,,1889,4367171,646899,0
Oceania,,1890,4518423,661529,0
Oceania,,1891,4540894,675784,0
Oceania,,1892,4616052,689639,0
Oceania,,1893,4682773,0,703071
Oceania,,1894,4750627,0,716764
Oceania,,1895,4819634,0,730724
Oceania,,1896,4889811,0,744956
Oceania,,1897,4961187,0,759465
Oceania,,1898,5033780,0,774257
Oceania,,1899,5105999,0,790405
Oceania,,1900,5241067,0,807964
Oceania,,1901,1494065,3755077,826989
Oceania,,1902,1504369,0,4663146
Oceania,,1903,1515327,0,4744599
Oceania,,1904,1526362,0,4827552
Oceania,,1905,1537485,0,4912035
Oceania,,1906,1548692,0,4998077
Oceania,,1907,1559983,0,5085710
Oceania,,1908,1571360,0,5174963
Oceania,,1909,1571773,0,5268085
Oceania,,1910,1627599,0,5365170
Oceania,,1911,1541006,0,5466318
Oceania,,1912,1510450,0,5571631
Oceania,,1913,1470171,0,5681211
Oceania,,1914,1431738,0,5792954
Oceania,,1915,1395082,0,5906901
Oceania,,1916,1360135,0,6023098
Oceania,,1917,1326824,0,6141589
Oceania,,1918,1291957,0,6263656
Oceania,,1919,1266200,0,6386952
Oceania,,1920,1318299,0,6511477
Oceania,,1921,1240833,0,6637228
Oceania,,1922,1240675,0,6764205
Oceania,,1923,1248531,0,6892406
Oceania,,1924,1256886,0,7023038
Oceania,,1925,1265746,0,7156146
Oceania,,1926,1275099,0,7291775
Oceania,,1927,1284944,0,7429977
Oceania,,1928,1295280,0,7570797
Oceania,,1929,1311246,0,7698094
Oceania,,1930,1405689,0,7811470
Oceania,,1931,1361945,0,7910521
Oceania,,1932,1397642,0,7994832
Oceania,,1933,1440901,0,8063981
Oceania,,1934,1487096,0,8133729
Oceania,,1935,1536292,0,8204081
Oceania,,1936,1588573,0,8275041
Oceania,,1937,1644015,0,8346616
Oceania,,1938,1702726,0,8418810
Oceania,,1939,1764362,0,8504300
Oceania,,1940,1905123,0,8603402
Oceania,,1941,1896772,0,8716443
Oceania,,1942,1967750,0,8843752
Oceania,,1943,2042059,0,8985666
Oceania,,1944,2120268,0,9129857
Oceania,,1945,2202544,0,9276363
Oceania,,1946,2289067,0,9425220
Oceania,,1947,2380024,0,9576468
Oceania,,1948,2475618,0,9730142
Oceania,,1949,2566323,0,9899588
Oceania,,1950,2890534,0,10085359
Oceania,,1951,2919565,0,10346153
Oceania,,1952,2954709,0,10587873
Oceania,,1953,2995195,0,10822414
Oceania,,1954,3040585,0,11058608
Oceania,,1955,3090602,0,11302088
Oceania,,1956,3144996,0,11555241
